engine_id,cycle,setting1,setting2,setting3,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,anomaly,decision,risk,max_cycle,RUL,ae_anomaly,true_label
1,1,-0.0007,-0.0004,100.0,518.67,0.18373493975903443,0.4068018312622641,0.30975692099932317,14.62,21.61,0.72624798711756,2388.06,9046.19,1.3,0.3690476190476204,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.0,39.06,23.419,0,🔥 High Temperature - Reduce Load,Medium Risk,192,191,False,0
1,2,0.0019,-0.0003,100.0,518.67,0.2831325301204686,0.45301940265969165,0.3526333558406485,14.62,21.61,0.628019323671495,2388.04,9044.07,1.3,0.38095238095238315,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.0,39.0,23.4236,0,🔥 High Temperature - Reduce Load,Medium Risk,192,190,False,0
1,3,-0.0043,0.0003,100.0,518.67,0.34337349397591765,0.36952256376716974,0.370526671168129,14.62,21.61,0.7101449275362341,2388.08,9052.94,1.3,0.25000000000000355,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.0,38.95,23.3442,0,🔥 High Temperature - Reduce Load,Medium Risk,192,189,False,0
1,4,0.0007,0.0,100.0,518.67,0.34337349397591765,0.25615870939612506,0.3311951384199858,14.62,21.61,0.7407407407407476,2388.11,9049.48,1.3,0.16666666666666785,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.0,38.88,23.3739,0,🔥 High Temperature - Reduce Load,Medium Risk,192,188,False,0
1,5,-0.0019,-0.0002,100.0,518.67,0.34939759036143414,0.257466753869636,0.4046252532072927,14.62,21.61,0.6682769726247955,2388.06,9055.15,1.3,0.25595238095238315,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100.0,38.9,23.4044,0,🔥 High Temperature - Reduce Load,Medium Risk,192,187,False,0
1,6,-0.0043,-0.0001,100.0,518.67,0.2680722891566347,0.2927839546544604,0.27211343686698086,14.62,21.61,0.7761674718196474,2388.02,9049.68,1.3,0.18452380952380665,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.0,38.98,23.3669,0,🔥 High Temperature - Reduce Load,Medium Risk,192,186,False,0
1,7,0.001,0.0001,100.0,518.67,0.38253012048193114,0.46391977327229483,0.2619851451721793,14.62,21.61,0.7230273752012977,2388.02,9059.13,1.3,0.3035714285714306,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.0,39.1,23.3774,0,🔥 High Temperature - Reduce Load,Medium Risk,192,185,False,0
1,8,-0.0034,0.0003,100.0,518.67,0.40662650602408235,0.2598648354044073,0.31600270087778526,14.62,21.61,0.6441223832528209,2388.0,9040.8,1.3,0.23214285714285765,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.0,38.97,23.3106,0,🔥 High Temperature - Reduce Load,Medium Risk,192,184,False,0
1,9,0.0008,0.0001,100.0,518.67,0.27409638554217963,0.434706780030524,0.21185010128291637,14.62,21.61,0.6183574879227081,2388.05,9046.46,1.3,0.26190476190476275,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.0,39.05,23.4066,0,🔥 High Temperature - Reduce Load,Medium Risk,192,183,False,0
1,10,-0.0033,0.0001,100.0,518.67,0.15060240963856586,0.4403749727490762,0.3073936529372041,14.62,21.61,0.6022544283413964,2388.05,9051.7,1.3,0.10714285714285765,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.0,38.95,23.4694,0,🔥 High Temperature - Reduce Load,Medium Risk,192,182,False,0
1,11,0.0018,-0.0003,100.0,518.67,0.32228915662648205,0.23348593852191613,0.31043214044564493,14.62,21.61,0.755233494363921,2388.05,9049.61,1.3,0.17857142857142705,521.4,2388.01,8140.58,8.434,0.03,392,2388,100.0,38.94,23.4787,0,🔥 High Temperature - Reduce Load,Medium Risk,192,181,False,0
1,12,0.0016,0.0002,100.0,518.67,0.2560240963855165,0.26967516895575017,0.30216070222822466,14.62,21.61,0.7520128824476586,2388.09,9049.37,1.3,0.19642857142857295,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100.0,39.06,23.366,0,🔥 High Temperature - Reduce Load,Medium Risk,192,180,False,0
1,13,-0.0019,0.0004,100.0,518.67,0.5602409638554491,0.24307826466100124,0.31363943281566264,14.62,21.61,0.5780998389694076,2388.12,9046.82,1.3,0.31547619047619335,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100.0,38.93,23.2757,1,🔥 High Temperature - Reduce Load,Medium Risk,192,179,True,0
1,14,0.0009,-0.0,100.0,518.67,0.34337349397591765,0.4776542402441706,0.2854490209318037,14.62,21.61,0.7455716586151482,2388.09,9047.37,1.3,0.3511904761904745,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100.0,39.18,23.3826,0,🔥 High Temperature - Reduce Load,Medium Risk,192,178,False,0
1,15,-0.0018,-0.0003,100.0,518.67,0.36746987951806886,0.27861347285807625,0.33558406482107017,14.62,21.61,0.6103059581320451,2388.11,9052.22,1.3,0.26785714285714235,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100.0,38.99,23.35,0,🔥 High Temperature - Reduce Load,Medium Risk,192,177,False,0
1,16,0.0006,0.0005,100.0,518.67,0.27710843373492366,0.3693045563549191,0.37559081701553154,14.62,21.61,0.6586151368760227,2388.05,9049.34,1.3,0.23214285714285765,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100.0,38.97,23.455,0,🔥 High Temperature - Reduce Load,Medium Risk,192,176,False,0
1,17,0.0002,0.0002,100.0,518.67,0.4126506024096557,0.30346631785481293,0.29878460499662296,14.62,21.61,0.6360708534621438,2388.06,9054.92,1.3,0.1607142857142847,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100.0,38.81,23.3319,0,🔥 High Temperature - Reduce Load,Medium Risk,192,175,False,0
1,18,-0.0031,-0.0001,100.0,518.67,0.42469879518071707,0.43601482450403495,0.23413234301147767,14.62,21.61,0.7004830917874472,2388.05,9049.55,1.3,0.2142857142857153,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100.0,38.89,23.3987,0,🔥 High Temperature - Reduce Load,Medium Risk,192,174,False,0
1,19,0.0032,-0.0003,100.0,518.67,0.17469879518071707,0.36014824504033527,0.3055367994598228,14.62,21.61,0.6972624798711706,2388.04,9053.99,1.3,0.32738095238095255,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100.0,38.8,23.3464,0,🔥 High Temperature - Reduce Load,Medium Risk,192,173,False,0
1,20,-0.0037,0.0001,100.0,518.67,0.5512048192771033,0.21953346413778263,0.3879135719108717,14.62,21.61,0.7987117552334837,2388.05,9045.9,1.3,0.2202380952380949,522.07,2388.02,8129.71,8.421,0.03,392,2388,100.0,39.03,23.422,0,🔥 High Temperature - Reduce Load,Medium Risk,192,172,False,0
1,21,-0.0012,0.0001,100.0,518.67,0.34939759036143414,0.32766514061478347,0.2680621201890645,14.62,21.61,0.681159420289859,2388.11,9048.15,1.3,0.17857142857142705,522.42,2388.08,8134.02,8.4049,0.03,392,2388,100.0,39.09,23.3101,0,🔥 High Temperature - Reduce Load,Medium Risk,192,171,False,0
1,22,0.0002,0.0,100.0,518.67,0.46987951807227546,0.4772182254196693,0.3092505064145854,14.62,21.61,0.6086956521739069,2388.04,9061.21,1.3,0.23214285714285765,522.0,2388.03,8130.41,8.4034,0.03,392,2388,100.0,38.92,23.3792,0,🔥 High Temperature - Reduce Load,Medium Risk,192,170,False,0
